order_uid	previous_order_status	transition_name	new_order_status	user_role	date_time	comment
68fa122b-f0ee-4d0f-ac81-98d8e6610565	refused	require_revision	in_qa	pm		send_back_to_qa
68fa122b-f0ee-4d0f-ac81-98d8e6610565	in_qa	deliver	delivered	qa	2017-01-04 18:23:00	deliver_add._transition
6dab855a-d0fa-4efb-9764-9012363a7be6	in_qa	deliver	delivered	qa	2016-11-02 16:42:00	first delivery
6dab855a-d0fa-4efb-9764-9012363a7be6	delivered	refuse	refused	customer	2016-11-24 10:18:00	refusal
6dab855a-d0fa-4efb-9764-9012363a7be6	refused	require_revision	in_qa	pm		send_back_to_qa
6dab855a-d0fa-4efb-9764-9012363a7be6	in_qa	deliver	delivered	qa	2017-01-12 13:22:00	deliver_add._transition
6ff386e2-ce91-44d4-809e-7dd3cf007f65	in_qa	deliver	delivered	qa	2017-01-17 12:50:00	first delivery
6ff386e2-ce91-44d4-809e-7dd3cf007f65	delivered	refuse	refused	customer	2017-02-03 10:02:00	refusal
6ff386e2-ce91-44d4-809e-7dd3cf007f65	refused	require_revision	in_qa	pm		send_back_to_qa
6ff386e2-ce91-44d4-809e-7dd3cf007f65	in_qa	deliver	delivered	qa	2017-02-07 16:13:00	deliver_add._transition
70aed544-6d27-4edc-8b5e-1d9852ca6d9f	in_qa	deliver	delivered	qa	2017-01-11 08:33:00	first delivery
70aed544-6d27-4edc-8b5e-1d9852ca6d9f	delivered	refuse	refused	customer	2017-01-31 09:07:00	refusal
70aed544-6d27-4edc-8b5e-1d9852ca6d9f	refused	require_revision	in_qa	pm		send_back_to_qa
76fc4268-6277-46f7-81cd-0505db7e8891	in_qa	deliver	delivered	qa	2016-12-23 12:55:00	first delivery
76fc4268-6277-46f7-81cd-0505db7e8891	delivered	refuse	refused	customer	2017-01-10 05:25:00	refusal
76fc4268-6277-46f7-81cd-0505db7e8891	refused	require_revision	in_qa	pm		send_back_to_qa
76fc4268-6277-46f7-81cd-0505db7e8891	in_qa	deliver	delivered	qa	2017-02-06 18:18:00	deliver_add._transition
786dc2ab-af5b-42f6-afe1-f25595f656d8	in_qa	deliver	delivered	qa	2017-01-06 14:50:00	first delivery
786dc2ab-af5b-42f6-afe1-f25595f656d8	delivered	refuse	refused	customer	2017-01-26 02:43:00	refusal
786dc2ab-af5b-42f6-afe1-f25595f656d8	refused	require_revision	in_qa	pm		send_back_to_qa
786dc2ab-af5b-42f6-afe1-f25595f656d8	in_qa	deliver	delivered	qa	2017-02-07 13:24:00	deliver_add._transition
79ac6f5a-6774-4849-9006-18c8003d2e77	in_qa	deliver	delivered	qa	2016-10-28 09:58:00	first delivery
79ac6f5a-6774-4849-9006-18c8003d2e77	delivered	refuse	refused	customer	2016-11-03 00:00:00	refusal
79ac6f5a-6774-4849-9006-18c8003d2e77	refused	require_revision	in_qa	pm		send_back_to_qa
79ac6f5a-6774-4849-9006-18c8003d2e77	in_qa	deliver	delivered	qa	2017-01-24 18:46:00	deliver_add._transition
7c8524a9-a8cd-44a3-bd7d-382c7947477f	in_qa	deliver	delivered	qa	2016-12-13 11:57:00	first delivery
7c8524a9-a8cd-44a3-bd7d-382c7947477f	delivered	refuse	refused	customer	2016-12-23 10:28:00	refusal
7c8524a9-a8cd-44a3-bd7d-382c7947477f	refused	require_revision	in_qa	pm		send_back_to_qa
7c8524a9-a8cd-44a3-bd7d-382c7947477f	in_qa	deliver	delivered	qa	2017-01-04 14:06:00	deliver_add._transition
7c921220-aaa2-4d6d-8b18-bc3f8418bc2b	in_qa	deliver	delivered	qa	2016-12-21 11:06:00	first delivery
7c921220-aaa2-4d6d-8b18-bc3f8418bc2b	delivered	refuse	refused	customer	2017-01-11 07:23:00	refusal
7c921220-aaa2-4d6d-8b18-bc3f8418bc2b	refused	require_revision	in_qa	pm	2017-02-10 16:20:00	send_back_to_qa
7d5b87b8-6f0b-4663-9622-dc8f80d43844	in_qa	deliver	delivered	qa	2017-01-09 10:49:00	first delivery
7d5b87b8-6f0b-4663-9622-dc8f80d43844	delivered	refuse	refused	customer	2017-01-27 05:56:00	refusal
7d5b87b8-6f0b-4663-9622-dc8f80d43844	refused	require_revision	in_qa	pm		send_back_to_qa
