project	customer_id	delivery	folder_name	images
Agoda Bali	176849	https://drive.google.com/drive/folders/0B2QYuPa8WdDsQTBxX2E0VEYwXzg	176849	45
Agoda Bali	178072	https://drive.google.com/drive/folders/0B2QYuPa8WdDsUXBVVElMQzB6UEE	178072	85
Agoda Bali	178149	https://drive.google.com/drive/folders/0BwrdIL719n7wVjlJcWlQVjhtd2s	178149	96
Agoda Bali	178182	https://drive.google.com/drive/folders/0B1H-4CqQJz7aQVZuS0RLallEbFk	178182	51
Agoda Bali	185992	https://drive.google.com/drive/folders/0BzVECRdNByQAWkN5SklzOElnUVU	185992	81
Agoda Bali	186001	https://drive.google.com/drive/folders/0B2QYuPa8WdDsVVdjT2N1dkJxVGs	186001	61
Agoda Bali	186004	https://drive.google.com/drive/folders/0B1H-4CqQJz7acmZocXN0aTlSRkU	186004	56
Agoda Bali	186392	https://drive.google.com/drive/folders/0B2QYuPa8WdDsb3dGWWVpR3piN2c	186392	64
Agoda Bali	186481	https://drive.google.com/drive/folders/0BzVECRdNByQAckpLUHhLcGJTY3c	186481	43
Agoda Bali	186649	https://drive.google.com/drive/folders/0BzVECRdNByQAWGRYLXZpVGlub3M	186649	56
Agoda Bali	187075	https://drive.google.com/drive/folders/0B6bhERF4B_DpWjU5aWF3eHhiYms	1701-PS7-871	55
Agoda Bali	187116	https://drive.google.com/drive/folders/0BwrdIL719n7wQVZMX1FEUXp6N1E	187116	71
Agoda Bali	193834	https://drive.google.com/drive/folders/0B2QYuPa8WdDsNUUxSlhBUVNxMEk	193834	51
Agoda Bali	195532	https://drive.google.com/drive/folders/0BwrdIL719n7wTTdjczFCcXh5Tzg	195532	46
Agoda Bali	1961	https://drive.google.com/drive/folders/0BzVECRdNByQARG1PbW54YTAtUm8	1961	81
Agoda Bali	196589	https://drive.google.com/drive/folders/0B6I0mAjGkrndazkySUMzWU5PLWM	originals	91
Agoda Bali	206617	https://drive.google.com/drive/folders/0B1H-4CqQJz7aRnRuZ2Y1RUpsb1U	206617	56
Agoda Bali	207031	https://drive.google.com/drive/folders/0B2QYuPa8WdDsQXZwYUN2NGJkU0k	207031	61
Agoda Bali	211627	https://drive.google.com/drive/folders/0BwrdIL719n7wajZueEJvdlNKUmc	211627		76
