hotel_id	hotel_name	country_name	hotel_address	postal_code	city_name	area_name	hotel_latitude	hotel_longitude	import
408076	Kata Leisure House	Thailand	18/39 Koktanod Rd.  	83100	Phuket	Kata	7,817848493	98,30993582	18/11/16
408349	Grande Elegance Serviced Apartment	Thailand	5/5 Sirirat Rd, Patong, Kathu  	83150	Phuket	Patong	7,879466902	98,29287797	18/11/16
408372	Mochic Nanai Hotel	Thailand	205/40 Nanai Road  	83150	Phuket	Patong	7,8821902	98,30029696	18/11/16
408880	The Allano Phuket Hotel	Thailand	182/4 Phangmuang sai kor Rd., Patong, Kathu  	83150	Phuket	Patong	7,887387001	98,2998383	18/11/16
410438	Naiyang Beach Hotel	Thailand	80/30-38 Moo 1 Sakuu  	83140	Phuket	Phuket Airport	8,092403503	98,30190897	18/11/16
410498	Rico's Hotel Bangla	Thailand	64 10/11 Soi Bangla Square   	83150	Phuket	Patong	7,892841339	98,29689026	18/11/16
411297	The Naka Phuket Villa	Thailand	1/18, 1/20 Moo 6,Kathu  	83150	Phuket	Kamala	7,926419368	98,26788247	18/11/16
411516	Ai Phuket Hostel	Thailand	88 Yaowarat Road,  	83000	Phuket	Phuket Town	7,885795593	98,38776398	18/11/16
411517	Bad Boys Guesthouse Patong	Thailand	78/23 nanai soi8  kathu  	83150	Phuket	Patong	7,881637573	98,29777527	18/11/16
411518	The Rommanee Boutique Guesthouse	Thailand	15 Soi Rommanee, Talang Rd.  	83000	Phuket	Phuket Town	7,88547945	98,38909912	18/11/16
412134	Kool Backpacker hostel	Thailand	31 Bangla Rd  	83150	Phuket	Patong	7,893277168	98,29805756	18/11/16
412141	Gotum Hostel	Thailand	44 Yaowarat rd. , T.Taladyai , A.Muang  	83000	Phuket	Phuket Town	7,884546835	98,38753045	18/11/16
412142	Betterview Bed Breakfast & Bungalow	Thailand	58/10 Moo 4 Koh Yao Yai Sub-district, Koh Yao District, Phang-nga Province  	82160	Phuket	Koh Yao Yai	8,054322243	98,5977478	18/11/16
412145	The Silk View Hotel	Thailand	78/9-10 soi Nanairumjai, A.Katu  	83150	Phuket	Patong	7,884228635	98,29614536	18/11/16
412149	88 Hotel	Thailand	88 Nanai Rd.   	83150	Phuket	Patong	7,889491209	98,30368996	18/11/16
412161	Villa De Mama	Thailand	54/63 Moo.1 Soi. Ta-iad Muang  	83100	Phuket	Chalong	7,85315109	98,34795198	18/11/16
412162	The Palmery Resort and Spa	Thailand	82/20 Khoktanod Rd.  	83100	Phuket	Kata	7,816387651	98,30651969	18/11/16
412407	Anantara Vacation Club Mai Khao Phuket	Thailand	887 Moo3, Maikhao, Thalang  	83110	Phuket	Mai Khao	8,168656927	98,29554141	18/11/16
412430	Quip Bed & Breakfast Phuket Hotel	Thailand	54 Phuket Rd., Taladyai ,  	83000	Phuket	Phuket Town	7,882652814	98,39081613	18/11/16
412683	Anchan Boutique Hotel	Thailand	22/37 Soi-Ta-iad Cha-long  	83130	Phuket	Chalong	7,852812171	98,34627539	18/11/16
412741	Green Mango Guesthouse	Thailand	143 Nanai Rd, Patong Kathu Phuket  	83150	Phuket	Patong	7,886426	98,302622	18/11/16
428362	My Hotel Too	Thailand	8 Rat-U-Thit 200 Pee 1  	83150	Phuket	Patong	7,896326542	98,29834747	18/11/16
428366	Troy Guest House	Thailand	78/16-19 Soi NaNai 8, Phangmuang Sai Kor Rd.  	83150	Phuket	Patong	7,884054985	98,29638781	18/11/16
428368	Kata Tranquil Villa	Thailand	11/12 patak Rd. Kata-Karon Beach  	83100	Phuket	Karon	7,831259211	98,30121928	18/11/16
429779	Nize Hotel	Thailand	54/20-21 Moo.6 Thepkasattri Rd.,Rassada, Muang  	83000	Phuket	Phuket Town	7,927311979	98,39532092	18/11/16
433025	Coco Resort	Thailand	162/27-29 Soi Nanai 8  	83150	Phuket	Patong	7,881815434	98,29761505	18/11/16
433028	The Villa Laemhin Lagoon Resort	Thailand	85/9 Moo.7, T.Kohkaew, A.Muang  	83200	Phuket	Phuket Town	7,935460897	98,40504366	18/11/16
433033	Star Hotel Patong	Thailand	34/103  Prachanookhro Road  	83150	Phuket	Patong	7,88096571	98,29336548	18/11/16
433214	Inter House	Thailand	5 Soi Pakjae T. Karon, A. Muang, Phuket  	83110	Phuket	Kata	7,818322	98,31464	18/11/16
433297	Ella Bed Hotel	Thailand	100/19-20 Soi Permpongpattana (Soi Post Office), Thaweewong,  	83150	Phuket	Patong	7,891319097	98,29494059	18/11/16
433437	Rico's Bungalows Kata	Thailand	42 Kata Road  	83100	Phuket	Kata	7,817461194	98,3007288	18/11/16
434025	Patong Gallery Hotel	Thailand	246/4 Pung Muang Sai Kor Rd,  	83150	Phuket	Patong	7,901925525	98,30480844	18/11/16
434079	Dueanphen Guesthouse	Thailand	1/9-10 Moo 9 Viset Road  	83000	Phuket	Chalong	7,82169688	98,34189266	18/11/16
434080	Phuket Art Home	Thailand	12/15 chaofa east road  	83130	Phuket	Chalong	7,837757018	98,3488369	18/11/16
434081	Modern Thai Villa	Thailand	19/3 Soi Pattana Saiyuan Rd.  	83130	Phuket	Rawai	7,807230534	98,33280802	18/11/16
434099	Sungthong Kamala Beach Resort	Thailand	10/66-67 Moo.3 Beach road  	83150	Phuket	Kamala	7,947073327	98,27913442	18/11/16
443390	Pacific Inn	Thailand	328 Phuket road, Taladyai, Muang  	83000	Phuket	Phuket Town	7,877409803	98,39321036	18/11/16
443499	Andaman Bangtao Bay Resort	Thailand	82/9 Moo3 Cherngtalay Talang  	83110	Phuket	Bang Thao	7,985138893	98,28588104	18/11/16
443500	Unotel Karon Beach	Thailand	518 Patak Road  	83100	Phuket	Karon	7,848511703	98,29494998	18/11/16
443781	Karon Sino House	Thailand	448/1 Patak Rd.,(East)  	83100	Phuket	Karon	7,846057892	98,29916382	18/11/16
